ReservationID,GuestID,FirstName,LastName,Gender,Email,Phone,Nationality,Birthdate,Address,City,PostalCode,Country,CheckinDate,CheckoutDate,RoomNumber,FloorNumber,RoomType,Adults,Children,TotalNights,TotalAmount,PaymentStatus,SpecialRequests,ReservationSource,BookingDate,CheckinTime,CheckoutTime,Breakfast,Spa,Airport,RoomTypeRate
1001,101,Laura,Weiss,Male,xconley@example.org,+1-777-290-9299x1874,Sweden,20/6/1990,194 Stewart Squares,West Robert,35600,Sweden,22/6/2022,25/6/2022,9,1,Suite,4,1,3,699,Paid,They operation listen office no authority last society.,Walk-in,26/5/2022,1:13:28,19:11:56,Yes,No,No,233
1002,102,Austin,Henderson,Female,williamaustin@example.org,4268908795,Cyprus,22/7/1999,31442 Morris Port Apt. 423,South Christopher,50083,Cyprus,3/12/2022,7/12/2022,52,3,Deluxe,3,0,4,528,Pending,Agreement every land car.,Phone,27/11/2022,16:05:00,21:09:16,No,Yes,Yes,132
1003,103,Jamie,Smith,Male,benjaminporter@example.com,+1-563-234-8041x0677,Italy,16/9/1978,851 Ashley Junctions Apt. 370,Loweberg,96233,Italy,1/8/2022,3/8/2022,53,3,Standard,1,0,2,176,Paid,Say exactly total field American.,Website,22/7/2022,18:54:33,23:34:07,No,Yes,No,88
1004,104,Brian,Erickson,Male,johnmelton@example.org,+1-377-838-9030x072,Slovakia,21/2/1958,7221 Lewis Burg,Lake James,19770,Slovakia,11/2/2022,12/2/2022,15,1,Suite,1,0,1,227,Pending,Operation better present effort teacher huge end.,Walk-in,22/1/2022,13:48:30,9:00:01,No,Yes,Yes,227
1005,105,Cristian,Taylor,Male,salazarkelly@example.com,5043212352,Norway,30/11/1984,9874 Melanie Ford Suite 715,Craigborough,25612,Norway,18/7/2022,20/7/2022,42,2,Suite,1,0,2,458,Pending,Board little they really office.,Booking Platform,15/6/2022,15:32:38,23:48:24,Yes,No,Yes,229
1006,106,Julia,Johnson,Male,laura96@example.net,625-499-3657x91730,Poland,6/9/1985,53173 Williams Locks,Lake David,44778,Poland,22/4/2022,23/4/2022,57,3,Suite,4,2,1,217,Pending,Shake significant later difficult key.,Walk-in,4/4/2022,3:53:40,19:04:40,No,No,Yes,217
1007,107,James,Gibson,Male,mendezalexander@example.net,863.882.8921x82893,Estonia,5/12/1982,8225 Sheila Viaduct,Nashbury,40102,Estonia,21/5/2022,26/5/2022,85,4,Deluxe,1,0,5,710,Paid,System where the think.,Walk-in,25/4/2022,2:35:07,12:55:21,Yes,No,No,142
1008,108,Gabriel,Gonzalez,Female,hhoffman@example.org,-8077,Australia,4/3/2004,44218 James Circle Apt. 951,New Amymouth,8193,Australia,4/1/2023,8/1/2023,72,3,Suite,3,1,4,980,Paid,Fire sit college finish lawyer find.,Website,16/12/2022,23:55:57,21:58:04,No,Yes,Yes,245
1009,109,Ryan,Cross,Male,johnfernandez@example.net,(296)239-0361,Malta,14/12/1970,132 Tanner Court Apt. 868,South Christopher,51205,Malta,14/12/2022,17/12/2022,21,1,Suite,1,1,3,726,Paid,Especially look during million.,Walk-in,2/12/2022,18:43:19,22:31:43,Yes,No,Yes,242
1010,110,Andrew,Washington,Male,jeffreymorales@example.org,8517786994,Portugal,3/12/1978,36073 Robert Ridges Apt. 499,Thomashaven,8550,Portugal,25/3/2022,26/3/2022,2,1,Standard,1,1,1,68,Paid,While project choice fire risk call list present.,Phone,18/2/2022,21:59:19,2:31:33,No,No,No,68
1011,111,Ashley,Johnson,Male,gallowaymary@example.org,214-838-7927x79193,Spain,7/5/1980,804 Bridges Loaf,Kimberlyfort,1669,Spain,20/1/2023,22/1/2023,63,3,Suite,2,2,2,432,Pending,Stock important though score couple physical special.,Website,15/12/2022,20:52:31,9:43:55,Yes,Yes,No,216
1012,112,James,Miller,Male,jpatel@example.net,(932)343-7003x96978,Brazil,6/1/1955,1811 Mullins Summit,North Philiphaven,40460,Brazil,24/1/2022,25/1/2022,22,1,Deluxe,1,0,1,127,Paid,Congress phone front until defense.,Phone,8/1/2022,18:14:51,17:43:30,Yes,No,No,127
1013,113,Jason,Miller,Female,theresa79@example.org,-7230,Hungary,12/6/1984,62343 Ellison Hollow Apt. 391,North Jamesfort,85438,Hungary,25/5/2022,29/5/2022,10,1,Deluxe,4,0,4,500,Pending,Agent affect doctor agent result.,Booking Platform,6/5/2022,9:07:42,2:23:23,No,No,No,125
1014,114,Jennifer,Williams,Male,johnsonadam@example.org,001-682-439-9379x9444,Portugal,11/2/1951,4582 Clayton Points Apt. 557,New Williefurt,99604,Portugal,20/8/2022,24/8/2022,72,3,Suite,4,1,4,980,Paid,Suffer fill outside sing law.,Walk-in,24/7/2022,15:03:42,16:02:32,Yes,No,No,245
1015,115,Shawna,Stuart,Female,jwright@example.com,540.745.8947x429,Brazil,30/1/2003,4704 Summers River Suite 334,South Josephfurt,52210,Brazil,30/5/2022,2/6/2022,22,1,Deluxe,1,0,3,396,Paid,Clearly cup development his world two.,Walk-in,9/5/2022,17:51:07,23:35:57,No,Yes,Yes,132
1016,116,Anita,Terry,Female,jamierandall@example.net,-7963,China,4/12/1974,269 Cardenas Points Suite 420,North Wendy,94294,China,30/3/2022,4/4/2022,51,3,Suite,1,1,5,1190,Paid,Thus according soldier computer.,Booking Platform,20/2/2022,18:01:02,23:03:39,No,Yes,Yes,238
1017,117,Sydney,Harvey,Male,julie35@example.net,685-284-5958,France,5/5/1988,974 Briana Way Suite 559,Wallfort,1048,France,14/2/2022,16/2/2022,100,4,Deluxe,3,0,2,242,Paid,Keep public number born life control.,Phone,29/1/2022,15:47:22,6:00:36,No,Yes,No,121
1018,118,Valerie,Miller,Female,atkinsonstephanie@example.org,872.314.5613x25119,United States,11/11/1992,6772 Murphy Hill,Paulstad,22983,United States,16/2/2022,17/2/2022,34,2,Deluxe,2,2,1,120,Pending,Anything course under already.,Website,23/1/2022,11:36:41,15:42:06,Yes,No,Yes,120
1019,119,Joshua,Estes,Male,spencermathis@example.org,207.669.2282,Finland,11/3/2003,521 Patricia Village,Jamesport,7239,Finland,29/1/2022,2/2/2022,72,3,Suite,4,1,4,880,Pending,Suggest responsibility involve network such budget join.,Walk-in,1/1/2022,8:32:24,14:18:49,Yes,No,No,220
1020,120,Brittany,Chavez,Male,garciaanthony@example.net,+1-387-613-7509x615,France,18/11/1986,10539 Jessica Loop Suite 506,West Nathan,49082,France,23/10/2022,27/10/2022,98,4,Standard,2,2,4,340,Pending,I memory painting manager.,Booking Platform,14/9/2022,8:17:15,18:22:00,No,No,No,85
1021,121,Courtney,Hernandez,Female,jarvisfelicia@example.com,535-498-4656x47011,Italy,12/6/1998,340 Sullivan Landing Suite 439,South Tina,9346,Italy,26/11/2022,30/11/2022,58,3,Deluxe,4,0,4,600,Pending,Citizen list huge human sport prepare.,Booking Platform,23/10/2022,5:45:49,17:55:14,Yes,Yes,Yes,150
1022,122,William,Simpson,Female,ithompson@example.org,768.780.5190x323,Japan,27/2/1992,307 Ward Grove,New Larryberg,1732,Japan,12/2/2022,16/2/2022,49,2,Deluxe,4,1,4,492,Paid,Military machine operation response talk carry.,Website,30/1/2022,2:07:53,20:19:59,No,Yes,No,123
1023,123,Christine,Bass,Female,kaufmanmatthew@example.org,(328)821-6703,Denmark,22/8/1960,7895 Mark Place Apt. 692,North Brian,89679,Denmark,9/4/2022,12/4/2022,9,1,Suite,3,2,3,678,Pending,Rate remain face agent onto program.,Walk-in,15/3/2022,16:46:05,4:50:24,No,No,Yes,226
